age,income,country,device,tenure,transactions,segment
35,60000,IN,mobile,3,20,A
38,70000,IN,mobile,4,25,B
45,85000,US,mobile,6,35,A
52,92000,CA,web,9,30,C
40,75000,IN,mobile,5,28,B
43,78000,US,web,7,32,A
39,72000,IN,mobile,4,24,B
50,90000,CA,web,10,31,C
48,88000,US,mobile,7,34,A
41,77000,IN,web,5,29,B
37,69000,IN,mobile,4,23,B
46,86000,US,web,6,33,A
54,95000,CA,mobile,10,36,C
49,89000,US,web,7,34,A
42,76000,IN,mobile,5,30,B
51,91000,CA,web,9,31,C
44,80000,US,mobile,6,32,A
38,71000,IN,web,4,26,B
47,87000,US,mobile,7,35,A
55,96000,CA,web,10,33,C
36,65000,IN,mobile,3,22,A
39,73000,IN,web,4,27,B
45,84000,US,mobile,6,34,A
52,93000,CA,web,9,30,C
40,76000,IN,mobile,5,29,B
43,79000,US,web,7,31,A
41,75000,IN,mobile,5,28,B
49,90000,CA,web,8,30,C
46,87000,US,mobile,6,33,A
38,70000,IN,web,4,26,B
37,68000,IN,mobile,3,24,A
44,82000,US,web,6,32,A
53,94000,CA,mobile,9,35,C
48,88000,US,web,7,34,A
42,74000,IN,mobile,5,29,B
51,91000,CA,web,9,31,C
45,83000,US,mobile,6,33,A
39,72000,IN,web,4,27,B
47,87000,US,mobile,7,35,A
54,95000,CA,web,10,34,C
36,66000,IN,mobile,3,23,A
40,76000,IN,web,5,29,B
43,81000,US,mobile,6,31,A
50,90000,CA,web,8,30,C
46,87000,US,mobile,6,33,A
38,71000,IN,web,4,26,B
41,77000,IN,mobile,5,28,B
49,90000,CA,web,8,30,C
45,83000,US,mobile,6,32,A
52,93000,CA,web,9,31,C
